sp004-000001_KS_11	अभ्यर्थ्येति
sp004-000306_KS_11	काञ्चनम् काञ्चनस्य विकारः काञ्चनम्
sp004-000307_KS_11	स्वर्णसूत्रम् तदाधेयीभूतानि तोरणानि मालाविशेषन् उच्चिक्षिपुः उच्चैः चिक्षिपुः
sp004-000308_KS_11	बबन्धुरित्यर्थः
sp004-000309_KS_11	दिक्ष्विति
sp004-000310_KS_11	अथ तोरणोत्क्षेपानन्तरम्
sp004-000311_KS_11	दिक्षु दशसु दिशासु प्रसर्पन् प्रसिद्धो भवन्
sp004-000312_KS_11	आत्मनिनादेनेति शेषः
sp004-000313_KS_11	गम्यमानार्थत्वात् अप्रयोगः
sp004-000314_KS_11	तासाम् दिशाम् अधीश्वराणाम् दिक्पालानाम् अमराणाम् देवानाम् इन्द्रादीनाम् सम्बन्धी पटीयान् समर्थः
sp004-000315_KS_11	घोरनिनाद इति शेषः
sp004-000316_KS_11	धीरः गम्भीरः पटहः अन्यैः भृत्यभूतैः अमरैः आहतः
sp004-000317_KS_11	ताडितः सन् मध्यश्चासौ लोकश्च मध्यलोकः
sp004-000318_KS_11	भूलोक इत्यर्थः
sp004-000319_KS_11	तस्मिन् महोत्सवम्
sp004-000320_KS_11	अत्रापि भवत्पुत्रजन्मना अस्माकम् महान् उत्सवो जात इति शंसितुमिव कथयितुमिव
sp004-000321_KS_11	दध्वान ध्वनिम् चकार
sp004-000322_KS_11	ध्वनिकरणे महोत्सवज्ञापनस्य फलत्वाभावेऽपि फलत्वकल्पनात् फलोत्प्रेक्षा
sp004-000323_KS_11	महेति
sp004-000324_KS_11	तत्र महोत्सवे समागतानाम् प्राप्तानाम् अत एव गृहे गिरिराजपुत्र्या भवान्या सम्भावितानाम् पूजितानाम्
sp004-000325_KS_11	सत्कृतानाम् इत्यर्थः
sp004-000326_KS_11	गन्धर्वाः विद्याधराश्च देवविशेषाः तेषाम् सुन्दरीणाम् स्त्रीणाम् स्त्रीकर्तृकाणि
sp004-000327_KS_11	मङ्गलगीतकानि मङ्गलप्रयोजनगीतानि अभवन् जातानि इत्यर्थः
sp004-000328_KS_11	सुमङ्गलेति
sp004-000329_KS_11	सुमङ्गलानि यानि उपायनानि उपदासामग्र्यः तेषाम् पात्रम् तत्सहिताः हस्ताः
sp004-000330_KS_11	यासाम् एवम्भूताः सत्यः अभ्युपेताः प्राप्ताः मातरः ब्राह्म्याद्याः
sp004-000331_KS_11	सप्तेति शेषः
sp004-000332_KS_11	ब्राह्मी माहेश्वरी चैव कौमारी वैष्णवी तथा
sp004-000333_KS_11	वाराही च तथेन्द्राणी चामुण्डा सप्त मातरः इत्यमरः
sp004-000334_KS_11	मूर्ध्नि शिरसि दूर्वाक्षतकानि निधाय संस्थाप्य तम् गिरिजातनूजम् कुमारम्
sp004-000335_KS_11	मातृवत् पार्वतीवत् तत्तुल्यम् यथा तथा स्वम् स्वीयम् अङ्कम् निन्युः
sp004-000336_KS_11	स्वाङ्के स्थापयामासुः इत्यर्तः
sp004-000337_KS_11	मातृवत् इत्यनेन तासामपि अत्र महत्प्रेम अस्ति इति दर्शितम्
sp004-000338_KS_11	ध्वनत्स्विति
sp004-000339_KS_11	अङ्क्यालिङ्ग्योर्ध्वकेषु एतत्सञ्ज्ञकेषु तूर्येषु वाद्येषु सुतराम् मन्द्रम् गम्भीरम् यथा तथा
sp004-000340_KS_11	कलो मन्द्रस्तु गम्भीरे इत्यमरः
sp004-000341_KS_11	ध्वनत्सु शब्दायमानेषु सत्सु
sp004-000342_KS_11	अप्सरसः रम्भादिकाः रसेन स्नेहेन शोभनाः मधुराः सन्धयः स्वरसन्ध्यादयः
sp004-000343_KS_11	येषु तथाभूताः बन्धाः गीतप्रबन्धाः यत्र यस्मिन्कर्मणि
sp004-000344_KS_11	सुवृत्तानि शोभनच्छन्दांसि गीतानुगानि यत्र यस्मिन्कर्मणि
sp004-000345_KS_11	भावाः रत्यादयः रसाः श्रृङ्गारादयः तैः अनुविद्धम् व्याप्तम् यत्र
