sp002-000001_KS_04	मूर्च्छिता रतिः इत्युक्तम्
sp002-000341_KS_04	यथा इह तथा अमुत्र उपकर्तव्यम् मित्रेण इत्यर्थः
sp002-000342_KS_04	तदन्विति
sp002-000343_KS_04	तच्चिताकरणाम् अनु अनन्तरम्
sp002-000344_KS_04	मय्यर्पितम् मदर्पितम् ज्वलनम् अग्निम् दक्षिणवातवीजनैः मलयमारुत सञ्चारणैः
sp002-000345_KS_04	त्वरयेः
sp002-000346_KS_04	त्वरितम् ज्वलय इत्यर्थः
sp002-000347_KS_04	त्वराहेतुमाह ते तव विदितम् खलु मतिबुद्धिपूजार्थेभ्यश्च इति वर्तमाने क्तः
sp002-000348_KS_04	तद्योगात् कर्तरि षष्ठी
sp002-000349_KS_04	यथा येन प्रकारेण स्मरः माम् विना क्षणमपि नोत्सहते न हृष्यति
sp002-000350_KS_04	तथा त्वया ज्ञातमेव इत्यर्थः
sp002-000351_KS_04	इतीति
sp002-000352_KS_04	अपि च इत्येवम् विधाय कृत्वा नौ आवाभ्याम् एक एव सलिलस्य अञ्जलिर्दीयताम्
sp002-000353_KS_04	तमञ्जलिम् सः ते बान्धवः सखा स्मरः परत्र परलोके मया सहितः अविभज्य पास्यति
sp002-000354_KS_04	परलोकेति
sp002-000355_KS_04	किञ्च हे माधव वसन्त परलोकविधौ
sp002-000356_KS_04	पिण्डोदकादिकर्मणि स्मरमुद्दिश्य विलोलाः पल्लवाः यासु ताः सहकारमञ्जरीः चूतवल्लरीः
sp002-000357_KS_04	हि यस्मात्कारणात् ते सखा स्मरः प्रियाः चूतप्रसवाः यस्य सः तथोक्तः
sp002-000358_KS_04	इतीति
sp002-000359_KS_04	इति देहस्य विमुक्तये शरीरस्य विसर्गाय स्थिताम्
sp002-000360_KS_04	कृतनिश्चयाम् इति यावत्
sp002-000361_KS_04	रतिम् आकाशभवा सरस्वती अशरीरा वाक्
sp002-000362_KS_04	ह्रदशोषविक्लवाम् ह्रदस्य जलाधारस्य शोषेण विक्लवाम् शफरीम् प्रोष्ठीम् प्रोष्ठी तु शफरी द्वयोः इत्यमरः
sp002-000363_KS_04	प्रथमा वृष्टिः वर्षम् इव अन्वकम्पयत् अनुकम्पितवती
sp002-000364_KS_04	सदयम् उवाच इत्यर्थः
sp002-000365_KS_04	कृपा दयानुकम्पा स्यात् इत्यमरः
sp002-000366_KS_04	कुसुमेति
sp002-000367_KS_04	हे कुसुमायुधपत्नि रते तव भर्ता चिरात् चिरम् दुर्लभो न भविष्यति
sp002-000368_KS_04	किन्तु अचिरमेव सुलभो भविष्यति इत्यर्थः
sp002-000369_KS_04	किञ्च श्रृणु
sp002-000370_KS_04	तत्कर्म इति शेषः
sp002-000371_KS_04	येन कर्मणा सः ते भर्ता हरलोचनस्या अर्चिर्ज्वाला
sp002-000372_KS_04	ज्वाला भासो न पुंसि अर्चिः इत्यमरः
sp002-000373_KS_04	तस्मिन् शलभत्वम् पतङ्गत्वम् गतः
sp002-000374_KS_04	समौ पतङ्गशलभौ इत्यमरः
sp002-000375_KS_04	अभिलाषेति
sp002-000376_KS_04	उदीरितेन्द्रियः प्रेरितेन्द्रियः स्मरेण इति शेषः
sp002-000377_KS_04	प्रजापतिः ब्रह्मा स्वसुतायाम् सरस्वत्याम् अभिलाषम् अनुरागम् अकरोत्
sp002-000378_KS_04	अथ तेन प्रजापतिना विक्रियाम् इन्द्रियविकारम् निगृह्य निरुद्य अभिशप्तः सन्
sp002-000379_KS_04	एतत् फलम् दाहात्मकम् स्वकर्मफलम् अन्वभूत्
sp002-000380_KS_04	परिणेष्यतीति
sp002-000381_KS_04	इतीति च
sp002-000382_KS_04	धर्मेण धर्माख्यप्रजापतिना याचितः प्रार्थितः सः भगवान्ब्रह्मा
sp002-000383_KS_04	तपसा कारणेन तस्याम् पार्वत्याम् प्रवणीकृतः
sp002-000384_KS_04	अभिमुखीकृतः हरः शिवः यदा पार्वतीम्
sp002-000385_KS_04	परिणेष्यति उद्वक्ष्यति तदा उपलब्धसुखः प्राप्तानन्दः सन्
sp002-000386_KS_04	स्मरम् कामम् स्वेन वपुषा नियोजयिष्यति सङ्गमयिष्यति
sp002-000387_KS_04	इत्येवम् स्मरशापस्य अवधिदाम् अवसानदायिनीम् सरस्वतीम् वाचम् च आह
