sp002-000001_KS_04	mUrcCitA ratiH ityuktam
sp002-001486_RV_05	hi yasmAtkAraRAt te tava sarvezAm ASramARAm brahmacaryavAnaprasTayatInAm upakAre kzamam Saktam
sp002-001487_RV_05	kzamam Sakte hite trizu ityamaraH
sp002-001488_RV_05	dvitIyam ASramam gArhasTyam saNkramitum prAptum ayam kAlo hi
sp002-001489_RV_05	vidyAgrahaRAnantaryAt tasya iti BAvaH
sp002-001490_RV_05	kAlasamayavelAsu tuman iti tuman pratyayaH
sp002-001491_RV_05	sarvopakArakzamam ityatra manuH yaTA mAtaramASritya sarve jIvanti jantavaH
sp002-001492_RV_05	vartante gfhiRam tadvat ASrityetara ASramAH iti
sp002-001493_RV_05	taveti
sp002-001494_RV_05	arhataH pUjyasya praSastasya
sp002-001495_RV_05	arhaH praSaMsAyAm iti SatfpratyayaH
sp002-001496_RV_05	tava aBigamena AgamanamAtreRa me mama manaH na tfptam na tuzwam
sp002-001497_RV_05	kintu niyogakriyayA AjYAkaraRena utsukam utkaRWam
sp002-001498_RV_05	tatpare prasitAsaktAvizwArTodyukta utsuka ityamaraH
sp002-001499_RV_05	prasitotsukAByAm tftIyA ca iti saptamyarTe tftIyA
sp002-001500_RV_05	SAsiturguroH AjYayApi AjYayAvA AtmanA svato vA
sp002-001501_RV_05	prakftyAdiBya upasaNKyAnamiti tftIyA
sp002-001502_RV_05	mAm samBAvayitum bahUkartum vanAtprAptoऽsi
sp002-001503_RV_05	gurvarTam vA svArTam vA tvAdAgamanamityarTaH
sp002-001504_RV_05	itIti
sp002-001505_RV_05	arGyapAtreRa mfRmayapAtreRa anumitaH vyayaH sarvasvatyAgaH yasya tasya raGoH
sp002-001506_RV_05	iti uktaprakArAm udArAm OdAryayuktAmapi gAm vAcam
sp002-001507_RV_05	mano niyogakriyayA utsukam me ityevam rUpAm
sp002-001508_RV_05	svargezu paSuvAgvajradiNganetraGfRiBUjale
sp002-001509_RV_05	lakzyadfzwyA striyAm puMsi gOH ityamaraH
sp002-001510_RV_05	niSamya SrutvA varatantuSizyaH kOtsaH svArTopapattim svakAryasidDim prati durbalASaH san
sp002-001511_RV_05	mfRmayapAtradarSanAt SiTilamanoraTaH san tam raGum iti vakzyamARaprakAreRa avocat
sp002-001512_RV_05	uktavAn
sp002-001513_RV_05	sarvatreti
sp002-001514_RV_05	he rAjan tvam sarvatra naH asmAkam vArtam svAsTyam avehi jAnIhi
sp002-001515_RV_05	vArtam Palgunyaroge ca ityamaraH
sp002-001516_RV_05	vArtam pAwavamArogyam Bavyam svAsTyamanAmayam iti yAdavaH
sp002-001517_RV_05	na cEtadAScaryamityAha nATa iti
sp002-001518_RV_05	tvayi nATe ISvare sati prajAnAm aSuBam duHKam kutaH
sp002-001519_RV_05	taTAhi
sp002-001520_RV_05	arTAntaram nyasyati sUrya ityAdinA
sp002-001521_RV_05	sUrye tapati prakASamAne sati tamisrA tamastatiH
sp002-001522_RV_05	tamisram timiram roge tamisrA tu tamastatO
sp002-001523_RV_05	kfzRapakzaniSAyAm ca iti viSvaH
sp002-001524_RV_05	tamisramiti pAWe tu tamisram timiram
sp002-001525_RV_05	tamisram timiram tamaH ityamaraH
sp002-001526_RV_05	lokasya janasya
sp002-001527_RV_05	lokastu Buvane jana ityamaraH
sp002-001528_RV_05	dfzweH AvaraRAya AvaraRam kartum kaTam kalpeta
sp002-001529_RV_05	sampadyeta na kalpeta ityarTaH
sp002-001530_RV_05	dfzwimAvarItum nAlamityarTaH
sp002-001531_RV_05	kfpeH alamarTatvAt tadyoge namaH svasti ityAdinA caturTI
sp002-001532_RV_05	alamiti paryAptyarTagrahaRamiti BagavAnBAzyakAraH
sp002-001533_RV_05	tfpica sampedyamAne caturTIti vaktavyAt
sp002-001534_RV_05	tavArhata ityAdinA yaduktam tan na citramityAha
sp002-001535_RV_05	Baktiriti
sp002-001536_RV_05	pratIkzyezu pUjyezu
sp002-001537_RV_05	pUjyaH pratIkzyaH ityamaraH
sp002-001538_RV_05	BaktiranurAgaviSezaH te tava kulocitA kulAByastA
sp002-001539_RV_05	aByasteऽpyucitam nyAyyam iti yAdavaH
sp002-001540_RV_05	he mahABAga sArvaBOma tayA BaktyA pUrvAn atiSeze ativartase
sp002-001541_RV_05	kintu sarvatra vArtam cet tarhi kaTam Kinna iva dfSyase ata Aha
sp002-001542_RV_05	vyatIteti
sp002-001543_RV_05	aham vyatItakAlaH atikrAntakAlaH san arTiBAvAt yAcakatvAt tvAm aByupetaH prAptavAnasmi iti me vizAdaH kleSaH
sp002-001544_RV_05	SarIreti
sp002-001545_RV_05	he narendra tIrTe satpAtre pratipAditA datta fdDiH samfdDiH yena taToktaH san
sp002-001546_RV_05	yonO jalAvatAre ca mantryAdyazwAdaSasvapi
sp002-001547_RV_05	puRyakzetre taTA pAtre tIrTam syAt darSanezvapi
sp002-001548_RV_05	iti halAyuDaH
sp002-001549_RV_05	SarIramAtreRa tizWan
sp002-001550_RV_05	AraRyakAH araRye BavAH manuzyAH munipramuKAH
sp002-001551_RV_05	araRyAnmanuzya iti uYpratyayaH
sp002-001552_RV_05	tErupAttA Palameva prasUtiryasya saH stambena kARqena avaSizwaH
sp002-001553_RV_05	prakftyAditvAt tftIyA
sp002-001554_RV_05	nIvAra iva
sp002-001555_RV_05	ABAsi SoBase prakASase ityarTaH
sp002-001556_RV_05	sTAna iti
sp002-001557_RV_05	BavAn ekanarADipaH san sArvaBOmaH san
sp002-001558_RV_05	maKajam yajYajanyam
sp002-001559_RV_05	na vidyate kiYcana yasya sokiYcanaH daridraH
sp002-001560_RV_05	mayUravyaMsakAditvAt tatpuruzaH
sp002-001561_RV_05	tasya BAvastattvam akiYcanatvam nirDanatvam vyanakti prakawayati
sp002-001562_RV_05	sTAne yuktam
sp002-001563_RV_05	yukte dve sAmpratam sTAne ityamaraH
sp002-001564_RV_05	taTAhi surEH devEH paryAyeRa praTamAm pibatevahnir dvitIyAm pibate raviH
sp002-001565_RV_05	iti somotpattivihitakrameRa ityarTaH
sp002-001566_RV_05	pItasya himAMSoScandramasaH himAMSuScandramAScandraH ityamaraH
sp002-001567_RV_05	kalAkzayaH vfdDeH upacayAt SlAGyataro hi varaH Kalu
sp002-001568_RV_05	maRiH SAlo SARollIQaH samayavijayI hetinihato madakzIRo nAgaH Saradi saritaH SyAnapulinAH
sp002-001569_RV_05	kalASezaScandraH suratamfditA bAlavanitA tanimnA SoBante galitaviBavAScArTizu nfpAH
sp002-001570_RV_05	iti nyAyAditiBAvaH
sp002-001571_RV_05	atra kAmandakaH DarmArTam kzIRakoSasya kzIRatvamapi SoBate
sp002-001572_RV_05	surEH pItAvaSezasya kfzRapakze viDoriva iti
sp002-001573_RV_05	taditi
sp002-001574_RV_05	tattasmAt kAraRAt anyakAryaH
sp002-001575_RV_05	prayojanAntararahitaH aham anyatastAvat padAnyAntarAdeva yAvattAvacca sAkalyeऽvaDO mAneऽvaDAraRe ityamaraH
sp002-001576_RV_05	urvarDam uruDanam Ahartum Arjitum yatizye udyokzye
sp002-001577_RV_05	te tuByam svasti SuBamastu
sp002-001578_RV_05	namaHsvasti ityAdinA caturTI
sp002-001579_RV_05	taTAhi
sp002-001580_RV_05	cAtakoऽpi
sp002-001581_RV_05	DaraRIpatitam toyam cAtakAnAm rujAkaram iti hetoH ananyagatikoऽpItyarTaH
sp002-001582_RV_05	nirgalitaH ambu eva garBo yasya tam SaradDanam SaranmeGam nArdati na yAcate
sp002-001583_RV_05	arda gatO yAcane ca iti DAtuH
sp002-001584_RV_05	yAcanArTe raReऽrdanamiti yAdavaH
sp002-001585_RV_05	etAvaditi
sp002-001586_RV_05	etAvat etAvanmAtram vAkyam uktvA pratiyAtum kAmo yasya tam pratiyAtukAmam tum kAmamanasorapIti makAralopaH
sp002-001587_RV_05	maharzeH varatantoH Sizyam kOtsam nfpatiH raGuH niziDya nivArya
sp002-001588_RV_05	he vidvan tvayA gurave pradeyam vastu kim kimAtmakam kiyat kim parimARakam vA
sp002-001589_RV_05	iti evam tam kOtsam anyayuNktA apfcCat
sp002-001590_RV_05	praSnoऽnuyogaH pfcCA ca ityamaraH
sp002-001591_RV_05	tata iti
sp002-001592_RV_05	tataH anantaram yaTAvat yaTArham
sp002-001593_RV_05	arhArTe vatipratyayaH
sp002-001594_RV_05	vihitADvarAya viDivadanuzWitayajYAya
sp002-001595_RV_05	sadAcArAya ityarTaH
sp002-001596_RV_05	smayAveSavivarjitAya garvABiniveSaSUnyAya
sp002-001597_RV_05	anudDatAya ityarTaH
sp002-001598_RV_05	varRAnAm brAhmaRAdInAm ASramARAm brahmacaryAdInAm ca gurave niyAmakAya
sp002-001599_RV_05	varRAH syuH brAhmaRAdayaH ityamaraH
sp002-001600_RV_05	brahmacArI gfhI vAnaprasTo BikzuScatuzwaye ASramoऽstrI ityamaraH
sp002-001601_RV_05	varRASramARAm sarvakAryanirvAhakAya ityarTaH
sp002-001602_RV_05	tasmE raGave vicakzaRaH vidvAn varRI brahmacArI
sp002-001603_RV_05	varRino brahmacAriRa ityamaraH
sp002-001604_RV_05	varRAt brahmacAriRIti inipratyayaH
sp002-001605_RV_05	saH kOtsaH prastutam prakftam Acacakze
sp002-001606_RV_05	kaTayAmAsa
sp002-001607_RV_05	samApteti
sp002-001608_RV_05	samAptavidyena mayA maharziH gurudakziRAyE gurudakziRAsvIkArArTam vijYApitoऽBUt
sp002-001609_RV_05	sa ca guruH cirAya cirAt asKalitopacArAm tAm duzkarAm me Baktimeva purastAtpraTamam agaRayat saNKyAtavAn
sp002-001610_RV_05	BaktyEva santuzwaH kim dakziRaya ityuktavAn ityarTaH
sp002-001611_RV_05	aTavA Baktimeva tAm dakziRAm agaRayat iti yojyam
sp002-001612_RV_05	nirbanDeti
sp002-001613_RV_05	nirbanDena prArTanAtiSayena saYjAtaruzA saYjAtakroDena guruRA
sp002-001614_RV_05	varatantunA arTakArSyam arTadAridryam acintayitvA avicArya aham
sp002-001615_RV_05	vittasya Danasya catasraH daSa ca kowIH caturdaSakowIH me mahyam
sp002-001616_RV_05	Ahara Anaya iti vidyAparisaNKyayA vidyAsaNKyAnusAreRa iva uktaH
sp002-001617_RV_05	atra manuH aNgAni vedAScatvAro mImAMsA nyAyavistaraH
sp002-001618_RV_05	purARam DarmaSAstram ca vidyA hyetAScaturdaSa
sp002-001619_RV_05	iti
sp002-001620_RV_05	soऽhamiti
sp002-001621_RV_05	soऽham saparyAviDiBAjanena arGyapAtreRa Bavantam praBuSabda eva Sezo yasya tam matvA niHsvam niScitya ityarTaH
sp002-001622_RV_05	Srutanizkrayasya vidyAmUlyasya alpetaratvAt atimahattvAt samprati uparodDum nirbanDum nAByutsahe
sp002-001623_RV_05	na soQavAnasmi
sp002-001624_RV_05	itTamiti
sp002-001625_RV_05	dvijarAjakAntiH candrakAntiH
sp002-001626_RV_05	dvijarAjaH SaSaDaro nakzatreSaH kzapAkaraH ityamaraH
sp002-001627_RV_05	tasmAtsomo rAjA no brAhmaRAnAm iti SruteH
sp002-001628_RV_05	dvijarAjakAntitvena arTAvAptivErAgyam vArayati
sp002-001629_RV_05	enasaH pApAt nivfttA indriyavfttiH yasya saH
sp002-001630_RV_05	jagadekanATaH raGuH vedavidAm vareRa SrezWena dvijena kOtsena itTamAveditaH niveditaH san
sp002-001631_RV_05	enam kOtsam BUyaH punaH jagAda
sp002-001632_RV_05	gurvarTamiti
sp002-001633_RV_05	Srutasya SAstrasya pAram antam dfzwavAn SrutapAradfSvA
sp002-001634_RV_05	dfSeH kvanip iti kvanip pratyayaH
sp002-001635_RV_05	gurvarTam gurudakziRArTam yaTA taTA arTI yAcakaH
sp002-001636_RV_05	viSezaRadvayenApi asya apratyAKyeyatvamAha
sp002-001637_RV_05	raGoH sakASAt kAmam manoraTam anavApya aprApya vadAnyAntaram dAtrantaram gataH
sp002-001638_RV_05	syuH vadAnyasTUlalakza dAnaSORqA bahuprade ityamaraH
sp002-001639_RV_05	ityevam rUpasya parIvAdasya apavAdasya navo nUtanaH avatAraH AvirBAvaH me mA BUt mAstu
sp002-001640_RV_05	raGoriti svanAmagrahaRam samBAvitatva dyotanArTam
sp002-001641_RV_05	taTA ca samBAvitasya cAkIrtiH maraRAdatiricyate iti BAvaH
sp002-001642_RV_05	sa iti
sp002-001643_RV_05	saH tvam mahite pUjite praSaste prasidDe madIye matsambanDini agnyagAre tretAgniSAlAyAm
sp002-001644_RV_05	caturToऽgniriva vasan dvitrARi dve trIRi vA ahAni dinAni
sp002-001645_RV_05	saNKyayAvyetyAdinA bahuvrIhiH
sp002-001646_RV_05	bahuvrIhO saNKyeye qajabahugaRAditi qacpratyayaH samAsAntaH
sp002-001647_RV_05	soQumarhasi
sp002-001648_RV_05	he arhan mAnya tvadarTam tava prayojanam sADayitum yAvadyate yatizye
sp002-001649_RV_05	yAvatpurAnipAtayorlaw iti BavizyadarTe law
sp002-001650_RV_05	taTeti
sp002-001651_RV_05	agrajanmA brAhmaRaH pratItaH prItaH san KyAte hfzwe pratIta ityamaraH
sp002-001652_RV_05	tasya raGoH avitaTam amoGam saNgaram pratijYAm
sp002-001653_RV_05	aTa pratijYAji saMvidApatsu saNgaraH ityamaraH
sp002-001654_RV_05	taTeti pratyagrahIt
sp002-001655_RV_05	aNgIcakAra tAm giram iti kecitpaWanti
sp002-001656_RV_05	raGurapi gAm BUmim AttasArAm gfhItaDanAm avekzya kuberAt arTam Danam nizkrazwum Ahartum cakame iyeza
sp002-001657_RV_05	vasizWeti
sp002-001658_RV_05	vasizWasya yanmantreRa ukzaRam aBimantrya prokzaRam tajjAt praBAvAt sAmarTyAdDetoH
sp002-001659_RV_05	udanvadAkASamahIDarezu samudrAkASaparvatezu marutsaKasya
sp002-001660_RV_05	marutaH saKeti zazWItatpuruzaH bahuvrIhO samAsAntAsamBAvAt
sp002-001661_RV_05	tato vAyusahAyasya iti laByate
sp002-001662_RV_05	vArIRAm vAhako valAhakaH
sp002-001663_RV_05	pfzodarAditvAtsADuH
sp002-001664_RV_05	vabayoraBedAt balAhakaH
sp002-001665_RV_05	tasyeva meGasyeva tadraTasya gatiH saYcAraH na vijaGne na vihatA hi
sp002-001666_RV_05	aTeti
sp002-001667_RV_05	aTa pradoze rajanImuKe
sp002-001668_RV_05	tatkAle yAnArohaRaviDAnAt
sp002-001669_RV_05	pradozo rajanImuKam ityamaraH
sp002-001670_RV_05	DIraH prayataH raGuH
sp002-001671_RV_05	samantAdBavaH sAmantaH rAjamAtramiti samBAvanayEva manIzayEva kElAsanATam kuberam
sp002-001672_RV_05	tarasA balena jigIzuH jetumicCuH san
sp002-001673_RV_05	kalpitam sajjitam Sastram garBe yasya tam raTamaDiSiSye
sp002-001674_RV_05	raTe SayitavAn ityarTaH
sp002-001675_RV_05	aDiSINsTAsAm karmeti karmatvam
sp002-001676_RV_05	prAtariti
sp002-001677_RV_05	prAtaH prayARABimuKAya tasmE raGave kozagfhe niyuktAH aDikftAH BARqAgArikAH
sp002-001678_RV_05	savismayAH santaH kozagfhasya BARqAgArasya maDye naBastaH AkASAt paYcamyAstasilpratyayaH
sp002-001679_RV_05	patitAm hiraRmayIm survaRamayI
sp002-001680_RV_05	dARqinAyanetyAdinA nipAtanAt sADuH
sp002-001681_RV_05	vfzwim SaSaMsuH kaTayAmAsuH
sp002-001682_RV_05	tamiti
sp002-001683_RV_05	BUpatiH raGuH
sp002-001684_RV_05	aBiyAsyamAnAt aBigamizyamARAt kuberAt labDam
sp002-001685_RV_05	vajreRa kuliSena Binnam lUnam sumeroH pAdamiva pratyantaparvatamiva sTitam
sp002-001686_RV_05	SfNgamiti kvacitpAWaH
sp002-001687_RV_05	pAdAH pratyantaparvatAH ityamaraH
sp002-001688_RV_05	tam BAsuram BAsvaram
sp002-001689_RV_05	BaYjaBAsamido Gurac
sp002-001690_RV_05	iti GuracpratyayaH
sp002-001691_RV_05	hemarASim samastameva kftsnameva kOtsAya dideSa dadO
sp002-001692_RV_05	na tu caturdaSakowimAtramiti evakArArTaH
sp002-001693_RV_05	janasyeti
sp002-001694_RV_05	tO arTidAtArO dvAvapi sAketanivAsinaH ayoDyAvAsinaH
sp002-001695_RV_05	sAketaH syAdayoDyAyAm kosalA nandinI ca sA iti yAdavaH
sp002-001696_RV_05	janasya aBinandyasattvO stutyavyavasAyO aBUtAm
sp002-001697_RV_05	dravyAsuvyavasAyezu sattvamastrI tu jantuzu ityamaraH
sp002-001698_RV_05	kO dvO
sp002-001699_RV_05	gurupradeyAt aDike atiriktadravye niHspfhoऽrTI
sp002-001700_RV_05	arTikAmAt arTimanoraTAt aDikam pradadAtIti taToktaH
sp002-001701_RV_05	pre dAjYaH iti kapratyayaH
sp002-001702_RV_05	nfpaSca
sp002-001703_RV_05	aTeti
sp002-001704_RV_05	aTa DanapradAnAntaram prItamanAH hfzwamAnasaH maharziH kOtsaH samprasTitaH san
sp002-001705_RV_05	prasTAsyamAnaH san ASaMsAyAm BUtavacca iti BavizyadarTe ktaH
sp002-001706_RV_05	uzwrARAm kramelakAnAm vAmInAm baqabAnAm ca SatErvAhitArTam prApitaDanam AnatapUrvakAyam
sp002-001707_RV_05	vinayenanamramityarTaH
sp002-001708_RV_05	prajeSvaram raGum kareRa spfSan vAcamuvAca
sp002-001709_RV_05	kimiti
sp002-001710_RV_05	vftte rAjavftte nyAyenArjanamarTasya varDanam pAlanam taTA
sp002-001711_RV_05	satpAtre pratipattiSca rAjavfttam caturviDam
sp002-001712_RV_05	iti kAmandakaH
sp002-001713_RV_05	tasminvftte sTitasya prajAnAm aDipateH nfpasya BUH BUmiH kAmAnsUte iti kAmasUryadi
sp002-001714_RV_05	satsUdvizadruha ityAdinA kvip
sp002-001715_RV_05	atra kAmaprasavane kim citram
sp002-001716_RV_05	na citramityarTaH
sp002-001717_RV_05	kintu tava praBAvaH mahimAtu acintanIyaH
sp002-001718_RV_05	cintitumaSakyaH
sp002-001719_RV_05	yena tvayA dyOrapi manIzitam aBilazitam dugDA
sp002-001720_RV_05	duherdvikarmakatvAt apraDAnekarmaRi ktaH
sp002-001721_RV_05	praDAnakarmaRyAKyeye lAdInAhurdvikarmaRAm
sp002-001722_RV_05	apraDAne duhAdInAm Ryante kartuSca karmaRaH
sp002-001723_RV_05	iti smaraRAt
sp002-001724_RV_05	ASAsyamiti
sp002-001725_RV_05	sarvARi karituragarAjyAdIni SreyAMsi kalyARAni aDijagmuzaH
sp002-001726_RV_05	prAptavataH te tava anyat putrAtiriktam ASAsyam ASIHsADyam punaruktaBUtam
sp002-001727_RV_05	sarvam sidDamityarTaH
sp002-001728_RV_05	kintu Iqyam stutyam Bavantam BavataH piteva dilIpa iva AtmaguRAnurUpam
sp002-001729_RV_05	tva tulyaguRamityarTaH
sp002-001730_RV_05	putram laBasva prApnuhi
sp002-001731_RV_05	itTamiti
sp002-001732_RV_05	agrajanmA brAhmaRaH
sp002-001733_RV_05	agrajanmA dvije SrezWe BrAtari brahmaRi smftaH iti viSvaH
sp002-001734_RV_05	itTam anena prakAreRa rAjYe raGave ASizam ASIrvAdam prayujya dattvA
sp002-001735_RV_05	gurorvaratantoH sakASam samIpam pratIyAya prApa
sp002-001736_RV_05	rAjApi
sp002-001737_RV_05	jIvalokaH praRisamUhaH
sp002-001738_RV_05	jIvaH prARini gIzpatO iti viSvaH
sp002-001739_RV_05	arkAt sUryAt Alokam prakASamiva
sp002-001740_RV_05	cEtanyamiti pAWe jYAnam
sp002-001741_RV_05	AlokO darSanodyotO ityamaraH
sp002-001742_RV_05	tasmAt fzeH ASu SIGram sutam putram leBe prApa
sp002-001743_RV_05	brAhma iti
sp002-001744_RV_05	tasya raGoH devI mahizI devI kftABizekAyAm ityamaraH
sp002-001745_RV_05	brAhme tasyedamityaR brahmadevatAke aBijinnAmake muhUrte kila IzadasamAptam kumAram kumArakalpam skandasadfSam
sp002-001746_RV_05	IzadasamAptO ityAdinA kalpappratyayaH
sp002-001747_RV_05	kumAram putram suzuve
sp002-001748_RV_05	kileti samBAvanAyAm
sp002-001749_RV_05	vArtAsamBAvyayoH kila ityamaraH
sp002-001750_RV_05	kumAro bAlake skande iti viSvaH
sp002-001751_RV_05	ataH brAhmamuhUrtotpannatvAt pitA raGuH brahmaRaH viDereva nAmnA tam AtmajanmAnam putram ajam ajanAmakam cakAra
sp002-001752_RV_05	ajo harO hare kAme viDO CAge raGoH sute iti viSvaH
sp002-001753_RV_05	rUpamiti
sp002-001754_RV_05	ojasvi tejasvi balizWam vA
sp002-001755_RV_05	ojastejasi DAtUnAm avazwamBaprakASayoH
sp002-001756_RV_05	ojo bale ca dIptO ca iti viSvaH
sp002-001757_RV_05	rUpam vapuH
sp002-001758_RV_05	aTa rUpam napuMsakam
sp002-001759_RV_05	svaBAvAkftisOndaryavapuzi SlokaSabdayoriti viSvaH
sp002-001760_RV_05	tadeva pEtfkameva
sp002-001761_RV_05	vIryam SOryam tadeva
sp002-001762_RV_05	nEsargikam svABAvikam unnatatvam tadeva
sp002-001763_RV_05	tAdfgeva ityarTaH
sp002-001764_RV_05	kumAro bAlakaH
sp002-001765_RV_05	pravartitaH utpAdito dIpaH pradIpAt svotpAdakadIpAdiva
sp002-001766_RV_05	svAt svakIyAt pUrvAdiByo navaByo vA iti smAdBAvA BAvo vEkalpikatvAt
sp002-001767_RV_05	kAraRAt janakAt na biBide Binno nABUt
sp002-001768_RV_05	sarvAtmanA tAdfSa eva aBUt ityarTaH
sp002-001769_RV_05	upAtteti
sp002-001770_RV_05	guruByaH viDivat yaTASAstram upAttavidyam labDavidyam
sp002-001771_RV_05	yOvanasya udBedAt AvirBAvAdDetoH viSezeRa atiSayeRa kAntam sOmyam tam ajam prati sABilAzA api SrIH
sp002-001772_RV_05	DIrA sTironnatacittA sTirA cittonnatiryA tu tadDEryamiti saYjYitam iti BUpAlaH
sp002-001773_RV_05	kanyA pituriva
sp002-001774_RV_05	guroH raGoH anujYAm AjYAm AcakANkze iyeza
sp002-001775_RV_05	yOvarAjyArho aBUt ityarTaH
sp002-001776_RV_05	anujYASabdAt pitfpAratatryam upamAsAmarTyAt pARigrahaRayogyatA ca Dvanyate
sp002-001777_RV_05	aTeti
sp002-001778_RV_05	aTa svasurBaginyAH indumatyAH svayaMvarArTam kumArasya ajasya Anayane utsukena
sp002-001779_RV_05	kraTakESikAnAm vidarBadeSAnAm ISvareRa svAminA Bojena rAjYA AptaH hitaH dUtaH raGave visfzwaH prezitaH
sp002-001780_RV_05	kriyAmAtrayogeऽpi caturTI
sp002-001781_RV_05	tamiti
sp002-001782_RV_05	asO raGuH tam Bojam SlAGyasambanDam anUcAnatvAdiguRayogAt spfhaRIyasambanDam vicintya vicArya putram ca dArakriyAyogyadaSam
sp002-001783_RV_05	vivAhayogyavayasam vicintya sasEnyamenam putram ayam fdDAm samfdDAm vidarBADipasya Bojasya rAjaDAnIm purIm prati prasTApayAmAsa
sp002-001784_RV_05	DIyate asyAmiti DAnI
sp002-001785_RV_05	karaRADikaraRayoSca iti aDikaraRe lyuwpratyayaH
sp002-001786_RV_05	rAjYAm DAnIti vigrahaH
sp002-001787_RV_05	praDAnanagarI rAjYAm rAjaDAnIti kaTyate
sp002-001788_RV_05	iti SabdArRave
sp002-001789_RV_05	tasyeti
sp002-001790_RV_05	upakAryAsu rAjayogyezu pawaBavanAdizu
sp002-001791_RV_05	sODoऽstrI rAjasadanamupakAryopakArikA ityamaravacanavyAKyAne
sp002-001792_RV_05	upakriyate upakaroti ca pawamaRqapAdi rAjasadanamiti kzIrasvAmI
sp002-001793_RV_05	racitAH upacArAH SayanAdayaH yezu te taToktAH
sp002-001794_RV_05	jAnapadAnAm janapadeByaH AgatAnAm upadABiH upAyanEH
sp002-001795_RV_05	upAyanam upagAham upahArastaTopadA ityamaraH
sp002-001796_RV_05	vanyAH vane BavAH itare yezAm te vanyetarAH avanyAH ityarTaH
sp002-001797_RV_05	na bahuvrIhO iti sarvanAmasaYjYAnizeDaH
sp002-001798_RV_05	tatpuruze sarvanAmasaYjYA durvArEva
sp002-001799_RV_05	tasya manujendrasUnoH ajasya mArge nivAsAH vasatayaH tatpuruze kftibahulamiti saptamyA aluk
sp002-001800_RV_05	udyAnAni AkrIqAH pumAna AkrIqa udyAnamityamaraH
sp002-001801_RV_05	tAnyeva vihArAH vihArasTAnAni tatkalpAH
sp002-001802_RV_05	tatsadfSA ityarTaH
sp002-001803_RV_05	IzadasamAptO iti kalpappratyayaH
sp002-001804_RV_05	baBUvuH
sp002-001805_RV_05	sa iti
sp002-001806_RV_05	vilaNGitADvA atikrAntamArgaH saH ajaH sIkarArdrEH
sp002-001807_RV_05	SItalErityarTaH
sp002-001808_RV_05	marudBiH vAtEH AnartitAH kampitAH naktamAlAH cirabilvAKyavfkzaBedAH
sp002-001809_RV_05	yasmin tat
sp002-001810_RV_05	niveSArha ityarTaH
sp002-001811_RV_05	cirabilvo nakta mAlaH karajaSca karaYjake ityamaraH
sp002-001812_RV_05	narmadA roDasi revAtIre klAntam SrAntam rajoBiH DUsarAH ketavo yasya tat sEnyam niveSayAmAsa
sp002-001813_RV_05	aTeti
sp002-001814_RV_05	aTa senAnivezanAntaram uparizwAt UrDvam
sp002-001815_RV_05	uparyuparizwAditi nipAtaH
sp002-001816_RV_05	BramadBiH
sp002-001817_RV_05	madaloBAditi BAvaH
sp002-001818_RV_05	BramarEH prAk unmajjanAt pUrvam sUcitaH jYApitaH antaHsalile praveSo yasya saH taToktaH
sp002-001819_RV_05	nirDOtadAne kzAlitamade ata eva amale gaRqaBittI yasya sa taToktaH
sp002-001820_RV_05	dAnam gajamade tyAge iti SASvataH
sp002-001821_RV_05	praSastO gaRqO gaRqaBittI
sp002-001822_RV_05	praSaMsAvacanESca iti samAsaH
sp002-001823_RV_05	BittiSabdaH praSastArTaH
sp002-001824_RV_05	taTA ca gaRaratnamahodaDO matallikodDamiSrAH syuH prakARqasTalaBittayaH iti
sp002-001825_RV_05	BittiH pradeSo vA
sp002-001826_RV_05	BittiH pradeSe kuqyeऽpi iti viSvaH
sp002-001827_RV_05	nirDOtadAnena amalA gaRqaBittiH yasya iti vA
sp002-001828_RV_05	vanyo gajaH sarittaH narmadAyAH sakASAt
sp002-001829_RV_05	paYcamyAstasilpratyayaH
sp002-001830_RV_05	unmamajja utTitaH
sp002-001831_RV_05	niHSezeti
sp002-001832_RV_05	kaTamBUto gajaH
sp002-001833_RV_05	niHSezam yaTA taTA
sp002-001834_RV_05	vikzAlitaDAtunApi DOtagErikAdiDAtunApi
sp002-001835_RV_05	nIlABi UrDvABI UrDvareKABiH tawAGAtajanitABiH Sabalena karbureRa
sp002-001836_RV_05	citram kirmIrakalmAzaSabalEtASca karbure ityamaraH
sp002-001837_RV_05	aSmaBiH pAzAREH vikuRWitena kuRWIkftena dantadvayena
sp002-001838_RV_05	fkzavAnnAma kaScittatratyaH parvataH tasya tawezu vaprakriyAm vaprakrIqAm utKAtakelim ityarTaH
sp002-001839_RV_05	utKAtakeliH SfNgAdyErvaprakrIqA nigadyate iti SabdArRave
sp002-001840_RV_05	SaMsan kaTayan sUcayan ityarTaH
sp002-001841_RV_05	yugmam
sp002-001842_RV_05	saMhAreti
sp002-001843_RV_05	saMhAravikzepayoH saNkocanaprasAraRayoH laGukriyeRa SIGravyApAreRa
sp002-001844_RV_05	javoTa SIGram tvaritam laGu kzipramaram drutam ityamaraH
sp002-001845_RV_05	hastena SuRqAdaRqena
sp002-001846_RV_05	hasto nakzatraBede syAt kareBakarayorapi iti viSvaH
sp002-001847_RV_05	saSabdam saGozam yaTA taTA bfhataH taraNgAn Bindan vidArayan tIrABimuKaH sa gajaH vArI gajabanDanasTAnam
sp002-001848_RV_05	vArI tu gajabanDanI iti yAdavaH
