sp003-000001_RV_03	rAjYI sudakziRA garBamADatta ityuktam
sp003-000373_RV_03	etA vidyAScatasrastu lokasaMsTitihetavaH iti ca
sp003-000374_RV_03	udAraDIH utkfzwabudDiH saH raGuH samagrEH DiyaH guREH
sp003-000375_RV_03	catvAraH arRavAH upamA yAsAm tAH caturarRavopamAH
sp003-000376_RV_03	tadDitArTottarapadasamAhAre ca ityuttarapadasamAsaH
sp003-000377_RV_03	catasraH vidyAH
sp003-000378_RV_03	haritAm diSAm ISvaraH sUryaH pavanAtipAtiBiH haridBiH nijASvEH
sp003-000379_RV_03	haritkakuBi varRe ca tfRavAjiviSezayoH iti viSvaH
sp003-000380_RV_03	catasraH diSa iva
sp003-000381_RV_03	kramAt tatAra
sp003-000382_RV_03	caturarRavopamatvam diSAmapi drazwavyam
sp003-000383_RV_03	tvacamiti
sp003-000384_RV_03	saH raGuH
sp003-000385_RV_03	kArzRarOravavAstAni carmARi brahmacAriRaH
sp003-000386_RV_03	vasIrannAnupUrvyeRa SARakzOmAdikAni ca
sp003-000387_RV_03	iti manusmaraRAt meDyAm SudDAm rOravIm rurusambanDinIm
sp003-000388_RV_03	rururmahAkfSAsAraH iti yAdavaH
sp003-000389_RV_03	tvacam carma pariDAya vasitvA mantravat samantrakam astram
sp003-000390_RV_03	AgneyAdikam pitureva upADyAyAt aSikzata aByastavAn
sp003-000391_RV_03	AKyAtopayoge ityapAdAnasaYjYA
sp003-000392_RV_03	pitureva ityavaDAraRam upapAdayati neti
sp003-000393_RV_03	tadguruH ekaH advitIyaH pArTivaH kevalam pfTivISvaraH eva nABUt
sp003-000394_RV_03	kintu kzitO saH dilIpaH eka DanurDaraH api aBUt
sp003-000395_RV_03	mahokzatAmiti
sp003-000396_RV_03	raGuH kramAt yOvanena BinnaSESavaH nirastaSiSuBAvaH san
sp003-000397_RV_03	mahAn ukzA mahokzaH maharzaBaH
sp003-000398_RV_03	acatura vicatura ityadisUtreRa nipAtanAt akArAntatvam
sp003-000399_RV_03	tasya BAvaH tattA
sp003-000400_RV_03	tAm spfSan gacCan vatsataraH damyaH iva
sp003-000401_RV_03	damyavatsatarO samO ityamaraH
sp003-000402_RV_03	dvipendraBAvam mahAgajatvam Srayan vrajan kalaBaH karipotaH iva
sp003-000403_RV_03	gAmBIryeRa acApalena manoharam vapuH pupoza
sp003-000404_RV_03	aTeti
sp003-000405_RV_03	gOrnAditye valIvarde kratuBedarziBedayoH
sp003-000406_RV_03	strI tu syAddiSi BAratyAm BUmO tu suraBAvapi
sp003-000407_RV_03	puMstriyoH svargavajrAmburaSmidfgbARalomasu
sp003-000408_RV_03	iti keSavaH
sp003-000409_RV_03	gAvaH lomAni keSAH dIyante KaRQyante asmin iti vyutpattyA godAnam nAma brAhmaRAdInAm
sp003-000410_RV_03	zoqaSAdizu varzezu kartavyam keSAntAKyam karma ucyate
sp003-000411_RV_03	taduktam manunA keSAntaH zoqaSe varze brAhmaRasya viDIyate
sp003-000412_RV_03	rAjanyavanDoH dvAviMSe vESyasya dvyaDike tataH iti
sp003-000413_RV_03	aTa guruH pitA
sp003-000414_RV_03	gurU grIzpatipitrAdyO ityamaraH
sp003-000415_RV_03	asya godAnaviDeH anantaram vivAhadIkzAm niravartayat
sp003-000416_RV_03	kftavAn ityarTaH
sp003-000417_RV_03	aTa narendrakanyAH tam raGum
sp003-000418_RV_03	dakzasya sutAH rohiRyAdayaH tamonudam candram iva
sp003-000419_RV_03	tamonudoऽgnicandrArkAH iti viSvaH
sp003-000420_RV_03	satpatim avApya AbaBuH
sp003-000421_RV_03	raGurapi tamonut
sp003-000422_RV_03	atra manuH vedAn aDItya vedO vA vedam vApi yaTAkramam
sp003-000423_RV_03	aviplutabrahmacaryo gfhasTASramam AviSet iti
sp003-000424_RV_03	samprati yOvarAjyayogyatAm Aha
sp003-000425_RV_03	yuveti
sp003-000426_RV_03	yuvA
sp003-000427_RV_03	yuvo nAma DuryaskanDagaH sacCidaprAntaH yAnANgaBUtaH dAruviSezaH
sp003-000428_RV_03	yAnAdyaNge yugaH puMsi yugam yugme kftAdizu ityamaraH
sp003-000429_RV_03	yugavat vyAyatO dIrGO bAhU yasya saH
sp003-000430_RV_03	aMsAvasya staH ityaMsalaH balavAn
sp003-000431_RV_03	mAMsalaSceti vfttikAraH
sp003-000432_RV_03	bala vAnmAMsalomऽsalaH ityamaraH
sp003-000433_RV_03	vatsAMsAByAm kAmabale iti lacpratyayaH
sp003-000434_RV_03	kapAwavakzAH pariRadDakanDaraH viSAlagrIvaH
sp003-000435_RV_03	pariRAho viSAlatA ityamaraH
sp003-000436_RV_03	raGuH vapuzaH prakarzAt ADikyAt yOvanakftAt gurum pitaram ajayat
sp003-000437_RV_03	taTApi vinayAt namratvena nIcEH alpakaH adfSyata
sp003-000438_RV_03	anena anOdDatyam ca vivakzitam
sp003-000439_RV_03	samprati tasya yOvarAjyamAha
sp003-000440_RV_03	tata iti
sp003-000441_RV_03	tataH AtmanA ciram DftAm nitAntagurvIm
sp003-000442_RV_03	voto guRavacanAt iti NIz
sp003-000443_RV_03	prajAnAm Duram pAlanaprayAsam laGayizyata laGum karizyata
sp003-000444_RV_03	tatkarozi tadAcazwe iti laGuSabdAt Ric
sp003-000445_RV_03	tataH luwaH sadvA iti SatfpratyayaH
sp003-000446_RV_03	nfpeRa dilIpena asO raGuH nisargeRa svaBAvena saMskAreRa SAstrAByAsajanitavAsanayA ca vinItaH namraH iti hetoH
sp003-000447_RV_03	yuvarAjaH iti Sabdam BajatIti taToktaH
sp003-000448_RV_03	Bajo RviH iti RvipratyayaH
sp003-000449_RV_03	cakre kftaH
sp003-000450_RV_03	dviviDo vinayaH svABAvikaH kftrimaSca iti kOwilyaH
sp003-000451_RV_03	taduBayasampannatvAt putram yuvarAjam cakAra ityarTaH
sp003-000452_RV_03	atra kAmandakaH vinayopagrahAnBUtyE kurvIta nfpatiH sutAn
sp003-000453_RV_03	avinItakumAram hi kulamASu viSIryate
sp003-000454_RV_03	vinItamOrasam putram yOvarAjyeऽBizecayet iti
sp003-000455_RV_03	narendreti
sp003-000456_RV_03	guRAnvinayAdIn sOraByAdIMSca aBilazatIti guRABilAziRI SrIH rAjyalakzmIH
sp003-000457_RV_03	padmASrayA ca narendraH dilIpaH eva mUlAyatanam praDAnasTAnam tasmAt
sp003-000458_RV_03	apAdAnAt
sp003-000459_RV_03	anantaram sannihitam
sp003-000460_RV_03	yuvarAjaH iti saYjYA asya saYjAtA yuvarAjasaYjYitam
sp003-000461_RV_03	tArakAditvAt itacpratyayaH
sp003-000462_RV_03	AtmanaH padam sTAnam Aspadam
sp003-000463_RV_03	Aspadam pratizWAyAm iti nipAtaH
sp003-000464_RV_03	saH raGuH iti Aspadam tadAspadam
sp003-000465_RV_03	kamalAt cirotpannAt navAvatAram acirotpannam utpalamiva
sp003-000466_RV_03	aMSena agacCat
sp003-000467_RV_03	striyo hi yUni rajyante iti BAvaH
sp003-000468_RV_03	viBAvasuriti
sp003-000469_RV_03	sAraTinA sahAyaBUtena
sp003-000470_RV_03	etadviSezaRam uttaravAkyezvapi anuzaYjanIyam
sp003-000471_RV_03	vAyunA viBAvasuH vahniriva
sp003-000472_RV_03	sUryavahni viBAvasU ityamaraH
sp003-000473_RV_03	GanavyapAyena Saratsamayena sAraTinA gaBastimAn sUryaH iva
sp003-000474_RV_03	kawaH gaRqaH
sp003-000475_RV_03	gaRqaH kawo mado dAnam ityamaraH
sp003-000476_RV_03	tasya praBedaH sPuwanam
sp003-000477_RV_03	madodayaH ityarTaH
sp003-000478_RV_03	tena karI iva
sp003-000479_RV_03	pArTivaH dilIpaH tena raGuRA atitarAm atyantam suduHsahaH suzWu asahyaH baBUva
sp003-000480_RV_03	niyujyeti
sp003-000481_RV_03	SatakratuH indraH upamA yasya saH SatakratUpamaH saH dilIpaH
sp003-000482_RV_03	Satam vE tulyA rAjaputrA devA ASApAlAH ityAdiSrutyA
sp003-000483_RV_03	rAjasutEH anudrutam anugatam DanurDaram tam raGum homaturaNgasya rakzaRe niyujya
sp003-000484_RV_03	ekena kratunA apUrRam ekonam kratUnAm aSvameDAnAm Satam apaviGnam apagataviGnam yaTA taTA Apa
sp003-000485_RV_03	tata iti
sp003-000486_RV_03	tataH param ekonakzatakratuprAptyanantaram yajvanA viDinA izwavatA
sp003-000487_RV_03	tena dilIpena punaH punarapi maKAya yajYam kartum
sp003-000488_RV_03	kriyArTopapadasya ityAdinA caturTI
sp003-000489_RV_03	utsfzwam muktam anargalam apratibanDam
sp003-000490_RV_03	avyAhatasvEragatim ityarTaH
sp003-000491_RV_03	aparyAvartayantaH aSvam anucaranti ityApastambasmaraRAt
sp003-000492_RV_03	turaNgam DanurBftAm rakziRAm rakzakARAm agrata eva SakraH gUQavigrahaH san
sp003-000493_RV_03	jahAra kila
sp003-000494_RV_03	kileti Etihye
sp003-000495_RV_03	vizAdeti
sp003-000496_RV_03	tat kumArasya sEnyam senA sapadi
sp003-000497_RV_03	vizAda izwanASakfto manoBaNgaH
sp003-000498_RV_03	taduktam vizAdaScetaso BaNgaH upAyABAvanASayoH iti
sp003-000499_RV_03	tena luptA pratipattiH kartavyajYAnam yasya tat taToktam
sp003-000500_RV_03	vismitamaSvanASasya AkasmikatvAt AScaryAvizwam sat
sp003-000501_RV_03	sTitam tasTO
sp003-000502_RV_03	aTa SrutapraBAvA yadfcCayA svecCayA AgatA
sp003-000503_RV_03	raGoH svaprasAdalabDatvat anujiGfkzayA iti BAvaH
sp003-000504_RV_03	nandinI nAma vasizWaDenuSca dadfSe
sp003-000505_RV_03	dvO cakArO avilambasUcakO
sp003-000506_RV_03	tadaNgeti
sp003-000507_RV_03	satAm puraskftaH pUjitaH dilIpanandanaH raGuH puRyena tasyA nandinyAH yadaNgam tasya nisyandaH dravaH sa eva jalam
sp003-000508_RV_03	mUtram ityarTaH
sp003-000509_RV_03	tena locane pramfjya SoDayitvA
sp003-000510_RV_03	atIndriyezu indriyARyatikrAntezu
sp003-000511_RV_03	atyAdayaH krAntAdyarTe dvitIyayA iti samAsaH
sp003-000512_RV_03	dviguprAptApannAlampUrvagatisamAsezu iti paravalliNgatApratizeDAt viSezyaniGnatvam
sp003-000513_RV_03	BAvezvapi vastuzu upapannadarSanaH sampannasAkzAtkAraSaktiH baBUva
sp003-000514_RV_03	sa iti
sp003-000515_RV_03	naradevasamBavaH saH raGuH punaH punaH sUtena nizidDacApalam nivAritOdDatyam raTasya raSmiBiH pragrahEH
sp003-000516_RV_03	kiraRapragrahO raSmI ityamaraH
sp003-000517_RV_03	saMyatam badDam aSvam harantam parvatapakzARAm SAtanam Cedakam devam indram pUrvataH pUrvasyAm diSi dadarSa
sp003-000518_RV_03	SatEriti
sp003-000519_RV_03	raGuH tam aSvahartAram animezavfttiBiH nimezavyApAraSUnyEH akzRAm SatEH hariBiH haridvarREH
sp003-000520_RV_03	harirvAcyavadAKyAto haritkapilavarRayoH iti viSvaH
sp003-000521_RV_03	vAjiBiH aSvESca harim indram viditvA
sp003-000522_RV_03	harirvAtArkacandrendrayamopendramarIcizu iti viSvaH
sp003-000523_RV_03	enam indram gaganaspfSA vyomavyApinA DIreRa gamBIreRa svareRa DvaninEva nivartayanniva avocat
sp003-000524_RV_03	maKAMSeti
sp003-000525_RV_03	he devendra manIziBiH tvameva maKAMSaBAjAm yajYaBAgaBujAm praTamaH sadA nigadyase kaTyase
sp003-000526_RV_03	taTApi ayajasradIkzAyAm nityadIkzAyAm prayatasya madguroH kriyAviGAtAya kratuviGAtAya
sp003-000527_RV_03	kriyAm vihantum ityarTaH
sp003-000528_RV_03	tumarTAcca BAvavacanAt iti caturTI
sp003-000529_RV_03	kaTam pravartase
sp003-000530_RV_03	triloketi
sp003-000531_RV_03	trayARAm lokAnAm nATaH trilokanATaH
sp003-000532_RV_03	tadDitArTottarapadasamAhAre ca ityanena uttarapadasamAsaH
sp003-000533_RV_03	tena trElokyaniyAmakena divyacakzuzA atIndriyArTadarSinA tvayA maKadvizaH
sp003-000534_RV_03	kratuviGAtakAH sadA niyamyAH nanu SikzyAH Kalu
sp003-000535_RV_03	sa tvam DarmacAriRAm karmasu kratuzu svayam antarAyaH viGnaH Bavasi cet
sp003-000536_RV_03	viDiranuzWAnam cyutaH kzataH
sp003-000537_RV_03	loke satkarmakaTEva astamiyAt ityarTaH
sp003-000538_RV_03	tadNgamiti
sp003-000539_RV_03	he maGavan tat tasmAtkAraRAt mahAkratoH aSvameDasya agryam SrezWam aNgam sADanam amum turaNgam pratimoktum pratidAtum arhasi
sp003-000540_RV_03	taTAhi
sp003-000541_RV_03	SruteH paTaH darSayitAraH sanmArgapradarSakAH ISvarAH mahAntaH malImasAm malinAm padDatim mArgam nAdadate na svIkurvate
sp003-000542_RV_03	asanmArgam nAvalambante ityarTaH
sp003-000543_RV_03	malImasam tu malinam kaccaram maladUzitam ityamaraH
sp003-000544_RV_03	itIti
sp003-000545_RV_03	iti raGuRA samIritam pragalBam vacaH niSamya AkarRya
sp003-000546_RV_03	divOkasaH svargokasaH
sp003-000547_RV_03	divam svargeऽntarikze ca iti viSvaH
sp003-000548_RV_03	tezAm aDipatiH devendraH raGupraBAvAt savismayaH san
sp003-000549_RV_03	raTam nivartayAmAsa
sp003-000550_RV_03	uttaram prativaktum pracakrame ca
sp003-000551_RV_03	yaditi
sp003-000552_RV_03	he rAjanyakumAra kzatriyakumAra
sp003-000553_RV_03	mUrDABizikto rAjanyo bAhujaH kzatriyo virAw ityamaraH
sp003-000554_RV_03	yadvAkyam AtTa bravIzi
sp003-000555_RV_03	bruvaH paYcAnAm Adita Aho bruvaH ityanena AhAdeSaH
sp003-000556_RV_03	tat taTA satyam
sp003-000557_RV_03	kintu yaSoDanEH asmAdfSEH parataH SatrutaH yaSaH rakzyam
sp003-000558_RV_03	tataH kim ata Aha Bavat guruH tvatpitA jagatprakASam lokaprasidDam aSezam sarvam mama tadyaSaH
sp003-000559_RV_03	ijyayA yAgena laNGayitum tiraskartum udyataH udyuktaH
sp003-000560_RV_03	kim tadyaSaH ityata Aha
sp003-000561_RV_03	haririti
sp003-000562_RV_03	puruzezu uttamaH iti saptamIsamAsaH
sp003-000563_RV_03	na nirDAraRe iti zazWIsamAsanizeDAt
sp003-000564_RV_03	karmaDAraye tu sanmahatparamottamotkfzwAH pUjyamAnEH ityuttamapuruzaH iti syAt
sp003-000565_RV_03	yaTA hariH vizRuH eka eva puruzottamaH smftaH
sp003-000566_RV_03	yaTA ca tryambakaH Siva eva maheSvaraH smftaH
sp003-000567_RV_03	nAparaH aparaH pumAn na
sp003-000568_RV_03	taTA mAm munayaH Satakratum viduH vidanti
sp003-000569_RV_03	vido lawo vA iti JerjusAdeSaH
sp003-000570_RV_03	naH asmAkam
sp003-000571_RV_03	hariharayoH mama ca ityarTaH
sp003-000572_RV_03	ezaH tritayoऽpi SabdaH dvitIyagAmI na hi
sp003-000573_RV_03	dvitIyAprakaraRe gamyAdInAm upasaNKyAnAt samAsaH
sp003-000574_RV_03	ata iti
sp003-000575_RV_03	yataH ahameva SatakratuH ataH tvadIyasya pituH ayam SatatamaH aSvaH
sp003-000576_RV_03	kapilAnukAriRA kapilamunitulyena mayA apahAritaH apahftaH
sp003-000577_RV_03	apahAritaH iti svArTe Ric
sp003-000578_RV_03	tava atra aSve prayatnena alam
sp003-000579_RV_03	prayatnam mAkArzIH ityarTaH
sp003-000580_RV_03	nizeDyasya nizeDam prati karaRatvAt tftIyA
sp003-000581_RV_03	sagarasya rAjYaH santateH santAnasya padavyAm padam mA niDAH na niDehi
sp003-000582_RV_03	nipUrvAt DADAtoH luN
sp003-000583_RV_03	na mANyoge ityaqAgamapratizeDaH
sp003-000584_RV_03	mahadAskandanam te vinASamUlam Bavediti BAvaH
sp003-000585_RV_03	tata iti
sp003-000586_RV_03	tataH turagasya rakzitA raGuH prahasya prahAsam kftvA
sp003-000587_RV_03	apaBayaH nirBIkaH san
sp003-000588_RV_03	punaH purandaram baBAze
sp003-000589_RV_03	kimiti he devendra yadi ezaH aSvAmocanarUpaH te tava sargaH niScayaH
sp003-000590_RV_03	sargaH svaBAvanirmokza niScayADyAyasfzwizu ityamaraH
sp003-000591_RV_03	tarhi Sastram gfhARa
sp003-000592_RV_03	BavAn raGum mAm anirjitya
sp003-000593_RV_03	kftam aneneti kftI
sp003-000594_RV_03	kftakftyaH na na Kalu
sp003-000595_RV_03	izwAdiByaSca iti inipratyayaH
sp003-000596_RV_03	raGumityanena AtmanaH durjayatvam sUcitam
sp003-000597_RV_03	sa iti
sp003-000598_RV_03	saH raGuH unmuKaH san
sp003-000599_RV_03	maGavantam indram evam uktvA SarAsanam cApam saSaram karizyamARaH
sp003-000600_RV_03	AlIQena AlIQAKyena sTAnaBedena viSezaSoBinA atiSayaSoBinA vapuHprakarzeRa
sp003-000601_RV_03	dehOnnatyena viqambiteSvaraH anusftapinAkI san
sp003-000602_RV_03	atizWat
sp003-000603_RV_03	AlIQalakzaRamAha yAdavaH sTAnAni DanvinAm paYca tatra vESAKamastriyAm
sp003-000604_RV_03	trivitastyantarO pAdO maRqalam toraRAkfti
sp003-000605_RV_03	anvarTam syAtsamapadam AlIQam tu tatoऽgrataH
sp003-000606_RV_03	dakziRe vAmamAkuYcya pratyAlIQaviparyayaH iti
sp003-000607_RV_03	raGoriti
sp003-000608_RV_03	raGoH avazwamBamayena stamBarUpeRa
sp003-000609_RV_03	avazwamBaH suvarRe ca stamBaprAra mBayorapi iti viSvaH
sp003-000610_RV_03	patriRA bARena hfdi hfdaye kzataH vidDaH
sp003-000611_RV_03	ata eva amarzaRaH asahanaH
sp003-000612_RV_03	krudDa ityarTaH
sp003-000613_RV_03	gotraBit indroऽpi
sp003-000614_RV_03	samBAvanIye cOreऽpi gotraH kzoRIDare mataH iti viSvaH
sp003-000615_RV_03	navAmbudAnAm anIkasya bfndasya muhUrtam kzaRamAtram lAYCane cihnaBUte Danuzi
sp003-000616_RV_03	divye Danuzi ityarTaH
sp003-000617_RV_03	amoGam avanDyam sAyakam bARam samaDatta saMhitavAn
sp003-000618_RV_03	dilIpa iti
sp003-000619_RV_03	BImAnAm BayaNkarARAm asurARAm SoRite ruDire ucitaH paricitaH saH indramuktaH
sp003-000620_RV_03	ASugaH sAyakaH dilIpasUnoH raGoH bfhat viSAlam BujAntaram vakzaH praviSya
sp003-000621_RV_03	anAsvAditapUrvam pUrvam anAsvAditam
sp003-000622_RV_03	supsupeti samAsaH
sp003-000623_RV_03	manuzyaSoRitam kutUhalena iva papO
sp003-000624_RV_03	hareriti
sp003-000625_RV_03	kumArasya skandasya vikramaH iva vikramaH yasya saH taToktaH
sp003-000626_RV_03	saptamyupamAnapUrvapadasya ityAdinA samAsaH
sp003-000627_RV_03	kumAroऽpi raGurapi suradvipasya ErAvatasya AsPAlanena karkaSAH aNgulayaH yasya saH
sp003-000628_RV_03	tasmin
sp003-000629_RV_03	SacyAH patraviSezakEH aNkite SacIpatraviSezANkite hareH indrasya
sp003-000630_RV_03	Buje svanAmacihnam svanAmANkitam sAyakam nicaKAna niKAtavAn
sp003-000631_RV_03	nizkaRwakarAjyamAptasya ayam mahAn aBiBavaH iti BAvaH
sp003-000632_RV_03	jahAreti
sp003-000633_RV_03	anyena mayUrapatriRA mayUrapatravatA SareRa Sakrasya indrasya mahASaniDvajam
sp003-000634_RV_03	mahAntam aSanirUpam Dvajam jahAra cicCeda ca
sp003-000635_RV_03	saH SakraH
sp003-000636_RV_03	suraSriyaH prasahya balAtkftya keSAnAm vyaparopaRAt avatAraRAcCedanAdiva
sp003-000637_RV_03	tasmE raGave BfSam atyarTam cukopa
sp003-000638_RV_03	tam hantum iyeza ityarTaH
sp003-000639_RV_03	kruDadruherzyA ityAdinA sampradAnatvAt caturTI
sp003-000640_RV_03	tayoriti
sp003-000641_RV_03	jayEziRoH anyonyajayAkANkziRoH tayoH indraraGvoH
sp003-000642_RV_03	garutmantaH pakzavantaH
sp003-000643_RV_03	garutpakzacCadAH patram ityamaraH
sp003-000644_RV_03	ASIvizAH
sp003-000645_RV_03	ASizi daMzwrAyAm vizam yezAm te ASIvizAH sarpAH
sp003-000646_RV_03	pfzodarAditvAt sADuH
sp003-000647_RV_03	strI tvASIrhitASaMsAhidaMzwrayoH ityamaraH
sp003-000648_RV_03	ta iva BImadarSanAH sapakzAH sarpAH iva
sp003-000649_RV_03	drazwFRAm BayAvahA ityarTaH
sp003-000650_RV_03	tEH aDomuKEH UrDvamuKESca
sp003-000651_RV_03	DanvinoH uparyaDodeSAvasTitatvAt iti BAvaH
sp003-000652_RV_03	patriBiH bAREH upAntasTitAstawasTAH sidDAH devAH indrasya sEnikASca
sp003-000653_RV_03	raGoH yasmin tat taToktam tumulam saNkulam yudDam baBUva
sp003-000654_RV_03	atiprabanDeti
sp003-000655_RV_03	vAsavaH atiprabanDena atisAtatyena prahitABiH prayuktABiH astravfzwiBiH
sp003-000656_RV_03	duzprasahasya duHKena prasahyata iti duzprasaham tasya
sp003-000657_RV_03	duHKenApi asahyasya ityarTaH
sp003-000658_RV_03	tejasaH pratApasya ASrayam tam raGum
sp003-000659_RV_03	ambudA adBiH svataH cyutam nirgatam vahnim iva
sp003-000660_RV_03	nirvApayitum na SaSAka
sp003-000661_RV_03	raGorapi lokapAlAtmakasya indrASasamBavatvAt iti BAvaH
sp003-000662_RV_03	tata iti
sp003-000663_RV_03	tataH raGuH haricandanANkite prakozWe maRibanDe pramaTyamAnArRavaDIranAdinIm
sp003-000664_RV_03	pramaTyamAnArRava iva DIram gamBIram nadatIti tAm taToktAm
sp003-000665_RV_03	vevezwi vyApnotIti viw vyApakam ojaH yasya saH tasya viqOjasaH indrasya
sp003-000666_RV_03	pfzodarAditvAtsADuH
sp003-000667_RV_03	SarAsanajyAm DanumOrvIm
sp003-000668_RV_03	SaSANkasya arDaH KaRqaH iva muKam Palam yasya tena patriRA alunAt acCinat
sp003-000669_RV_03	sa iti
sp003-000670_RV_03	vivfdDamatsaraH pravfdDavEraH saH indraH cApam utsfjya prabalasya vidvizaH SatroH praRASanAya vaDAya
sp003-000671_RV_03	mahIm DArayantIti mahIDrAH parvatAH
sp003-000672_RV_03	mUlaviBujAditvAt kapratyayaH
sp003-000673_RV_03	tezAm pakzavyaparopaRe pakzacCede ucitam sPuratpraBAmaRqalam astram vajrAyuDam Adade jagrAha
sp003-000674_RV_03	raGuriti
sp003-000675_RV_03	raGuH tena vajreRa BfSam atyarTam vakzasi tAqitaH hataH san
sp003-000676_RV_03	sEnikAnAm aSruBiH saha BUmO papAta
sp003-000677_RV_03	tasmin patite te ruruduH ityarTaH
sp003-000678_RV_03	nimezamAtrAt tadvyaTAm duHKam avaDUya tiraskftya sEnikAnAm
sp003-000679_RV_03	harzeRa ye ni svanAH kzveqAH tEH saha utTitaSca
sp003-000680_RV_03	tasmin utTite harzAt siMhanAdAMScakruH ityarTaH
sp003-000681_RV_03	taTApIti
sp003-000682_RV_03	taTApi vajrapAteऽpi SastrARAm AyuDAnAm vyavahAreRa vyApAreRa nizWure krUre vipakzaBAve
sp003-000683_RV_03	SAtrave ciram tasTuzaH sTitavataH asya raGoH vIryAtiSayena
sp003-000684_RV_03	vftram hatavAniti vftrahA
sp003-000685_RV_03	brahmaBrURavftrezu kvip
sp003-000686_RV_03	iti kvip pratyayaH
sp003-000687_RV_03	tutoza
sp003-000688_RV_03	svayam vIraH eva vIram jAnAtIti BAvaH
sp003-000689_RV_03	kaTam SatroH santozaH ata Aha
sp003-000690_RV_03	guREH sarvatra Satrumitra udAsInezu padam aNGriH niDIyate
sp003-000691_RV_03	guREH sarvatra saNkramyate ityarTaH
sp003-000692_RV_03	guRAH SatrUnapi AvarjayantIti BAvaH
sp003-000693_RV_03	asaNgamiti
sp003-000694_RV_03	sAravattayA adrizvapi asaNgam apratibanDam me AyuDam vajram tvadanyena na visoQam
sp003-000695_RV_03	ataH mAm prItam santuzwam avehi
sp003-000696_RV_03	turaNgamAdfte turaNgam varjayitvA
sp003-000697_RV_03	anyArAditararte iti paYcamI kimicCasIti sPuwam vAsavaH Aha
sp003-000698_RV_03	turaNgamAt anyat adeyam nAstIti BAvaH
sp003-000699_RV_03	tata iti
sp003-000700_RV_03	tataH nizaNgAt tURIrAt asamagram yaTA taTA udDftam suvarRapuNKadyutiBiH
sp003-000701_RV_03	raYjitAH aNgulayaH yena tam izum pratisaMharan nivartayan
sp003-000702_RV_03	nApraharantam praharediti nizeDAditi BAvaH
sp003-000703_RV_03	priyam vadatIti priyaMvadaH
sp003-000704_RV_03	priyavaSe vadaH Kac iti KacpratyayaH
sp003-000705_RV_03	arurdvizat ajantasya mum iti mumAgamaH
sp003-000706_RV_03	narendrasUnU raGuH sureSvaram pratyavadat
sp003-000707_RV_03	na tu prAharat iti BAvaH
sp003-000708_RV_03	amocyamiti
sp003-000709_RV_03	he praBo indra aSvam amocyam manyase yadi tataH tarhi ajasradIkzAyAm prayataH saH madguruH mama pitA
sp003-000710_RV_03	viDinEva karmaRi samApte sati kratoH yatPalam tena Palena aSezeRa kftsnena yujyatAm yuktaH astu
sp003-000711_RV_03	aSvameDaPalalABe kim aSveneti BAvaH
sp003-000712_RV_03	yaTeti
sp003-000713_RV_03	sadogataH sadogfham gataH trilocanasya ekAMSatayA azwAnAm anyatamamUrtitvAt
sp003-000714_RV_03	durAsadaH asmAdfSEH duzprApyaH viSAmpatiH yaTA imam vfttAntam
sp003-000715_RV_03	tava sandeSaharAt vArtAharAt eva SfRoti ca
sp003-000716_RV_03	he lokeSa indra taTA viDIyatAm
sp003-000717_RV_03	taTetIti
sp003-000718_RV_03	mAtalisAraTiH indraH raGoH sambanDinam kAmam manoraTam taTeti taTA astviti pratiSuSruvAn
sp003-000719_RV_03	BAzAyAm sadavasaSruvaH iti kvasupratyayaH
sp003-000720_RV_03	yaTAgatam yayO
sp003-000721_RV_03	sudakziRAsUnuH raGurapi nAtipramanAH vijayalABepi aSvanASAt nAtIva santuzwaH san
sp003-000722_RV_03	naYarTasya naSabdasya supsupeti samAsaH
sp003-000723_RV_03	nfpasya sadogfham prati nyavartata
sp003-000724_RV_03	tamiti
sp003-000725_RV_03	hareH indrasya SAsanahAriRA puruzeRa praTamam boDitaH jYApitaH
sp003-000726_RV_03	vfttAntamiti SezaH
sp003-000727_RV_03	prajeSvaraH dilIpaH harzajaqena harzaSiSireRa pARinA kuliSavraRANkitam
sp003-000728_RV_03	tasya raGoH idam tadIyam
sp003-000729_RV_03	aNgam SarIram parAmfSan tam raGum aByanandat
sp003-000730_RV_03	itIti
sp003-000731_RV_03	mahanIyaSAsanaH pUjanIyAjYaH kzitISaH iti anena prakAreRa
sp003-000732_RV_03	iti hetuprakaraRaprakarzAdisamAptizu ityamaraH
sp003-000733_RV_03	mahAkratUnAm aSvameDAnAm navaBiH aDikAm navatim ekonaSatam AyuzaH kzaye sati
sp003-000734_RV_03	divam svargam samArurukzuH AroQum icCuH sopAnAnAm paramparAm paNktim iva tatAna
sp003-000735_RV_03	aTeti
sp003-000736_RV_03	aTa vizayeByaH vyAvfttAtmA nivfttacittaH saH dilIpaH yaTAviDi
sp003-000737_RV_03	yaTASAstram yUne sUnave nfpatikakudam rAjacihnam
sp003-000738_RV_03	kakudvatkakudam SrezWe vfzANke rAjalakzmaRi iti viSvaH
sp003-000739_RV_03	sitAtapavAraRam SvetacCatram dattvA tayA devyA sudakziRayA saha munivanataroH CAyAm SiSriye SritavAn
sp003-000740_RV_03	vAnaprasTASramam svIkftavAn ityarTaH
sp003-000741_RV_03	taTAhi
sp003-000742_RV_03	galitavayasAm vfdDAnAm ikzvAkURAm ikzvAkoH gotrApatyAnAm
sp003-000743_RV_03	tadrAjasaYjYakatvAt aRo luk
